Title,Status,# Rooms,Area,# Car Spots,Condominium Fee,City,Neighborhood,Price,Description,URL
99,House_AD,For sale,3,82m²,2,R$ 700,Recife,Boa Viagem,R$ 700.000.,"House in Boa Viagem, Recife",https://pe.olx.com.br/grande-recife/imoveis/abra-a-janela-e-veja-o-mar-a-50-metros-da-praia-3-qts-2-vagas-946264302
100,House_AD,For sale,2,46m²,,,Jaboatão dos Guararapes,Dois Carneiros,R$ 150.000.,"House in Dois Carneiros, Jaboatão dos Guararapes",https://pe.olx.com.br/grande-recife/imoveis/mude-sua-vida-lancamento-em-jaboatao-2-quartos-suite-reversivel-varanda-sala-cozinha-949938396
101,House_AD,For sale,4,10m²,5,R$ 0,Recife,Encruzilhada,R$ 2.100.000.,"House in Encruzilhada, Recife",https://pe.olx.com.br/grande-recife/imoveis/excelente-local-1-090-m2-casa-de-esquina-vende-se-ou-troca-por-area-construida-931437874
102,House_AD,For sale,3,96m²,,R$ 900,Recife,Boa Viagem,R$ 470.000.,"House in Boa Viagem, Recife",https://pe.olx.com.br/grande-recife/imoveis/250-metros-da-praia-esta-o-seu-novo-endereco-946263944
103,House_AD,For sale,3,105m²,2,R$ 900,Recife,Boa Viagem,R$ 800.000.,"House in Boa Viagem, Recife",https://pe.olx.com.br/grande-recife/imoveis/venda-de-apartamento-em-b-viagem-setubal-nascente-2vagas-980196295
104,House_AD,For sale,4,139m²,2,R$ 0,Recife,Monteiro,R$ 1.458.000.,"House in Monteiro, Recife",https://pe.olx.com.br/grande-recife/imoveis/o-sonho-ao-seu-alcance-terrazza-apipucos-139m-1015454190
105,House_AD,For sale,2,60m²,,R$ 0,Recife,Zumbi,R$ 70.000.,"House in Zumbi, Recife",https://pe.olx.com.br/grande-recife/imoveis/oportunidade-1015454132
106,House_AD,For sale,2,55m²,,,Recife,Várzea,R$ 289.782.,"House in Várzea, Recife",https://pe.olx.com.br/grande-recife/imoveis/mt-super-lancamento-proximo-a-ufpe-02-quartos-55m-edf-la-vie-1015454045
107,House_AD,For sale,3,78m²,,R$ 660,Recife,Casa Forte,R$ 360.000.,"House in Casa Forte, Recife",https://pe.olx.com.br/grande-recife/imoveis/apartamento-a-venda-78-m-por-r-360-000-00-casa-forte-recife-pe-967479116
108,House_AD,For sale,2,44m²,,R$ 120,Gravatá,Nossa Senhora das Graças,R$ 180.000.,"House in Nossa Senhora das Graças, Gravatá",https://pe.olx.com.br/grande-recife/imoveis/apartamento-com-2-quartos-a-venda-por-r-180-000-santo-antonio-gravata-pe-954419461
109,House_AD,For sale,2,58m²,,R$ 480,Recife,Imbiribeira,R$ 280.000.,"House in Imbiribeira, Recife",https://pe.olx.com.br/grande-recife/imoveis/apartamento-500-metros-da-ufpe-hospital-das-clinicas-bancos-sem-vizinho-na-frente-945931947
110,House_AD,For sale,4,300m²,3,R$ 2.400,Recife,Pina,R$ 3.500.000.,"House in Pina, Recife",https://pe.olx.com.br/grande-recife/imoveis/excelente-cobertura-para-venda-com-300-metros-quadrados-4-quartos-em-pina-recife-pe-981200385
