Status,# Rooms,Area (m²),# Car Spots,Condominium Fee (BRL),City,Neighborhood,Price (BRL)
247,For sale,2.0,1.0,,0.0,Paulista,Tabajara,120000.0
248,For sale,4.0,130.0,3.0,0.0,Gravatá,Nossa Senhora das Graças,210000.0
249,For sale,2.0,56.0,,,Jaboatão dos Guararapes,Candeias,50000.0
250,For sale,2.0,49.0,,0.0,Recife,Boa Viagem,395838.0
251,For sale,2.0,54.0,,650.0,Recife,Encruzilhada,360000.0
252,For sale,3.0,105.0,2.0,1000.0,Recife,Boa Viagem,660000.0
253,For sale,3.0,61.0,,0.0,Recife,Boa Vista,395000.0
254,For sale,3.0,120.0,2.0,850.0,Recife,Boa Viagem,850000.0
255,For sale,4.0,160.0,,906.0,Recife,Boa Viagem,475000.0
256,,,1736.0,,5607.0,Jaboatão dos Guararapes,Guararapes,39928.0
257,,,250.0,,,Gravatá,COHAB-ll,70000.0
258,For sale,2.0,65.0,,407.0,Recife,Imbiribeira,390000.0
259,For sale,4.0,218.0,3.0,0.0,Recife,Boa Viagem,3050000.0
260,For sale,3.0,160.0,2.0,1500.0,Recife,Boa Viagem,1300000.0
261,For sale,3.0,247.0,,,Paulista,Janga,1100000.0
262,For sale,3.0,81.0,2.0,,Recife,Rosarinho,630115.0
263,For sale,4.0,150.0,2.0,0.0,Recife,Ipsep,520000.0
264,For rent,2.0,,,,Paulista,Jaguarana,350.0
265,For sale,3.0,71.0,,,Recife,Várzea,378350.0
266,For sale,4.0,135.0,3.0,420.0,Jaboatão dos Guararapes,Piedade,350000.0
267,For sale,3.0,81.0,,470.0,Recife,Campo Grande,250000.0
268,,,73.0,,0.0,Recife,Ilha do Leite,3662.0
269,For sale,2.0,55.0,,,Recife,Várzea,378350.0
270,For sale,5.0,250.0,3.0,1700.0,Jaboatão dos Guararapes,Piedade,900000.0
271,For sale,4.0,122.0,2.0,,Recife,Parnamirim,1023350.0
272,For sale,3.0,66.0,,,Jaboatão dos Guararapes,Candeias,429350.0
273,For sale,4.0,123.0,2.0,,Recife,Madalena,947350.0
