Status,# Rooms,Area (m²),# Car Spots,Condominium Fee (BRL),City,Neighborhood,Price (BRL)
252,For sale,3.0,130.0,0,0.0,Recife,Boa Viagem,740000.0
253,For sale,,23.0,0,0.0,Recife,Boa Viagem,260000.0
254,For sale,,33.0,0,0.0,Recife,Boa Viagem,562500.0
255,For sale,3.0,140.0,2.0,700.0,Olinda,Casa Caiada,620000.0
256,For sale,4.0,161.0,2.0,0.0,Cabo de Santo Agostinho,Paiva,2025000.0
257,For sale,2.0,65.0,0,555.0,Recife,Boa Viagem,350000.0
258,For sale,2.0,46.0,0,0.0,Recife,Boa Viagem,335700.0
259,For sale,4.0,135.0,2.0,0.0,Recife,Boa Viagem,1463000.0
260,For sale,3.0,115.0,2.0,0.0,Recife,Boa Viagem,700000.0
261,For sale,3.0,145.0,2.0,0.0,Recife,Boa Viagem,740000.0
262,For sale,4.0,146.0,2.0,0.0,Recife,Boa Viagem,1200000.0
263,For sale,4.0,135.0,2.0,800.0,Olinda,Casa Caiada,935000.0
264,For sale,4.0,135.0,2.0,800.0,Olinda,Casa Caiada,935000.0
265,For sale,5.0,503.0,0,0.0,Cabo de Santo Agostinho,Paiva,5500000.0
266,For sale,3.0,96.0,2.0,0.0,Recife,Dois Irmãos,870000.0
267,For sale,2.0,46.0,0,0.0,Recife,Dois Irmãos,285000.0
268,For sale,2.0,53.0,0,0.0,Recife,Imbiribeira,299980.0
269,For sale,3.0,89.0,2.0,0.0,Recife,Rosarinho,736000.0
270,For sale,4.0,126.0,2.0,0.0,Recife,Pina,1257400.0
271,For sale,3.0,71.0,0,0.0,Recife,Rosarinho,479400.0
272,For sale,2.0,57.0,0,0.0,Recife,Casa Amarela,321000.0
273,For sale,3.0,91.0,2.0,0.0,Recife,Boa Viagem,827400.0
274,For sale,3.0,59.0,0,0.0,Recife,Madalena,356000.0
275,For sale,3.0,61.0,0,0.0,Recife,Prado,395000.0
276,For sale,3.0,67.0,0,0.0,Recife,Ilha do Retiro,550000.0
277,For sale,4.0,123.0,2.0,0.0,Recife,Madalena,954000.0
278,For sale,,35.0,0,0.0,Recife,Espinheiro,327300.0
279,For sale,3.0,93.0,2.0,0.0,Recife,Casa Amarela,680000.0
280,For sale,2.0,63.0,0,0.0,Recife,Tamarineira,410000.0
281,For sale,,40.0,0,0.0,Recife,Boa Viagem,328000.0
282,For sale,2.0,50.0,0,0.0,Recife,Rosarinho,349000.0
283,For sale,,32.0,0,0.0,Recife,Soledade,285000.0
284,For sale,3.0,67.0,0,0.0,Recife,Casa Amarela,435500.0
285,For sale,3.0,67.0,0,0.0,Recife,Pina,399000.0
286,For sale,2.0,46.0,0,0.0,Recife,Madalena,355000.0
287,For sale,2.0,56.0,0,0.0,Recife,Casa Amarela,400000.0
288,For sale,2.0,66.0,0,605.0,Recife,Casa Amarela,370000.0
289,For sale,2.0,52.0,0,0.0,Recife,Boa Viagem,370000.0
290,For sale,3.0,80.0,2.0,0.0,Recife,Boa Viagem,560000.0
291,For sale,3.0,94.0,2.0,886.0,Recife,Parnamirim,933500.0
292,For sale,3.0,97.0,2.0,0.0,Recife,Boa Viagem,905000.0
293,For sale,2.0,61.0,0,0.0,Recife,Madalena,375000.0
294,For sale,3.0,92.0,0,0.0,Recife,Boa Viagem,754000.0
295,For sale,2.0,61.0,0,400.0,Recife,Iputinga,165000.0
296,For sale,3.0,121.0,0,885.0,Recife,Boa Viagem,400000.0
297,For sale,2.0,68.0,0,500.0,Recife,Madalena,390000.0
298,For sale,2.0,46.0,0,0.0,Recife,Torre,320000.0
299,For sale,2.0,60.0,0,450.0,Recife,Encruzilhada,417000.0
300,For sale,4.0,134.0,2.0,0.0,Recife,Madalena,1200000.0
301,For sale,,48.0,0,1344.0,Recife,Boa Viagem,325000.0
302,For sale,5.0,297.0,5.0,4500.0,Recife,Santana,3200000.0
303,For sale,3.0,159.0,2.0,1200.0,Olinda,Bairro Novo,530000.0
304,For sale,3.0,77.0,0,350.0,Recife,Boa Viagem,210000.0
305,For sale,4.0,145.0,3.0,0.0,Recife,Casa Forte,1014000.0
306,For sale,3.0,88.0,0,612.0,Olinda,Casa Caiada,310000.0
307,For sale,3.0,81.0,2.0,0.0,Recife,Boa Viagem,550000.0
308,For sale,3.0,110.0,2.0,910.0,Recife,Prado,495000.0
309,For sale,3.0,99.0,0,1100.0,Recife,Parnamirim,350000.0
310,For sale,3.0,68.0,0,120.0,Recife,Cordeiro,339000.0
311,For sale,3.0,106.0,0,1000.0,Recife,Tamarineira,400000.0
312,For sale,3.0,155.0,3.0,130.0,Paulista,Nossa Senhora do Ó,250000.0
313,For sale,3.0,159.0,2.0,0.0,Olinda,Salgadinho,520000.0
314,For sale,4.0,132.0,2.0,0.0,Recife,Ilha do Retiro,1281997.0
315,For sale,2.0,47.0,0,0.0,Jaboatão dos Guararapes,Candeias,149200.0
316,For sale,3.0,240.0,3.0,0.0,Recife,Ipsep,549900.0
317,For sale,3.0,130.0,2.0,880.0,Jaboatão dos Guararapes,Piedade,689900.0
318,For sale,2.0,45.0,0,225.0,Jaboatão dos Guararapes,Piedade,150000.0
319,For sale,3.0,120.0,2.0,0.0,Recife,Parnamirim,750000.0
320,For sale,3.0,104.0,0,900.0,Recife,Parnamirim,420000.0
321,For sale,2.0,48.0,0,0.0,Recife,Boa Vista,369000.0
322,For sale,3.0,310.0,3.0,0.0,Recife,Várzea,700000.0
323,For sale,,48.0,0,730.0,Recife,Boa Viagem,270000.0
324,For sale,3.0,75.0,0,0.0,Jaboatão dos Guararapes,Piedade,210000.0
325,For sale,4.0,135.0,2.0,736.0,Recife,Boa Viagem,1390000.0
326,For sale,3.0,131.0,2.0,1000.0,Recife,Graças,530000.0
327,For sale,3.0,65.0,0,0.0,Paulista,Janga,185000.0
328,For sale,3.0,94.0,2.0,0.0,Recife,Parnamirim,933522.0
329,For sale,2.0,96.0,0,0.0,Recife,Parnamirim,380000.0
330,For sale,4.0,136.0,2.0,1150.0,Recife,Pina,1450000.0
331,For sale,3.0,140.0,2.0,360.0,Jaboatão dos Guararapes,Candeias,250000.0
332,For sale,4.0,208.0,4.0,0.0,Recife,Recife,1400000.0
333,For sale,3.0,86.0,0,900.0,Recife,Boa Viagem,1200000.0
334,For sale,4.0,124.0,0,0.0,Recife,Iputinga,350000.0
335,For sale,2.0,70.0,0,540.0,Recife,Boa Viagem,330000.0
336,For sale,3.0,95.0,0,760.0,Recife,Aflitos,320000.0
337,For sale,2.0,85.0,2.0,650.0,Recife,Pina,900000.0
338,For sale,5.0,300.0,3.0,0.0,Recife,Ibura,250000.0
339,For sale,4.0,208.0,0,0.0,Recife,Santana,2200000.0
340,For sale,4.0,121.0,2.0,550.0,Recife,Graças,750000.0
341,For sale,4.0,132.0,2.0,765.0,Recife,Boa Viagem,1400000.0
342,For sale,2.0,45.0,0,0.0,Paulista,Artur Lundgren I,150000.0
